LoggerCode,Year,DayOfYear,Hour,Minute,SiteID,AverageVoltage,SensitID,PulseCountSum
101,2022,272,1600,0,9734,12.53,1298,0
101,2022,272,1700,0,9734,12.68,1298,0
101,2022,272,1800,0,9734,12.64,1298,0
101,2022,272,1900,0,9734,12.61,1298,0
101,2022,272,2000,0,9734,12.59,1298,0
101,2022,272,2100,0,9734,12.56,1298,0
101,2022,272,2200,0,9734,12.54,1298,0
101,2022,272,2300,0,9734,12.51,1298,0
101,2022,273,000,0,9734,12.48,1298,0
101,2022,273,100,0,9734,12.46,1298,0
101,2022,273,200,0,9734,12.44,1298,0
101,2022,273,300,0,9734,12.42,1298,0
101,2022,273,400,0,9734,12.4,1298,0
101,2022,273,500,0,9734,12.18,1298,0
101,2022,273,600,0,9734,12.15,1298,0
101,2022,273,700,0,9734,12.74,1298,0
101,2022,273,800,0,9734,13.37,1298,0
101,2022,273,900,0,9734,13.78,1298,0
101,2022,273,1000,0,9734,13.66,1298,0
101,2022,273,1100,0,9734,13.45,1298,0
101,2022,273,1200,0,9734,13.44,1298,0
101,2022,273,1300,0,9734,13.44,1298,0
101,2022,273,1400,0,9734,13.36,1298,0
101,2022,273,1500,0,9734,12.79,1298,0
101,2022,273,1600,0,9734,12.52,1298,0
101,2022,273,1700,0,9734,12.69,1298,0
101,2022,273,1800,0,9734,12.65,1298,0
101,2022,273,1900,0,9734,12.62,1298,0
101,2022,273,2000,0,9734,12.59,1298,0
101,2022,273,2100,0,9734,12.56,1298,0
101,2022,273,2200,0,9734,12.54,1298,0
101,2022,273,2300,0,9734,12.51,1298,0
101,2022,274,000,0,9734,12.49,1298,0
101,2022,274,100,0,9734,12.47,1298,0
101,2022,274,200,0,9734,12.44,1298,0
101,2022,274,300,0,9734,12.43,1298,0
101,2022,274,400,0,9734,12.41,1298,0
101,2022,274,500,0,9734,12.18,1298,0
101,2022,274,600,0,9734,12.15,1298,0
101,2022,274,700,0,9734,12.73,1298,0
101,2022,274,800,0,9734,13.41,1298,0
101,2022,274,900,0,9734,13.83,1298,0
101,2022,274,1000,0,9734,13.6,1298,0
101,2022,274,1100,0,9734,13.45,1298,0
101,2022,274,1200,0,9734,13.45,1298,0
101,2022,274,1300,0,9734,13.44,1298,0
101,2022,274,1400,0,9734,13.39,1298,0
101,2022,274,1500,0,9734,12.8,1298,0
101,2022,274,1600,0,9734,12.52,1298,0
101,2022,274,1700,0,9734,12.69,1298,0
101,2022,274,1800,0,9734,12.64,1298,0
101,2022,274,1900,0,9734,12.62,1298,0
101,2022,274,2000,0,9734,12.6,1298,0
101,2022,274,2100,0,9734,12.58,1298,0
101,2022,274,2200,0,9734,12.55,1298,0
101,2022,274,2300,0,9734,12.52,1298,0
101,2022,275,000,0,9734,12.49,1298,0
101,2022,275,100,0,9734,12.47,1298,0
101,2022,275,200,0,9734,12.45,1298,0
101,2022,275,300,0,9734,12.43,1298,0
101,2022,275,400,0,9734,12.4,1298,0
101,2022,275,500,0,9734,12.18,1298,0
101,2022,275,600,0,9734,12.14,1298,0
101,2022,275,700,0,9734,12.74,1298,0
101,2022,275,800,0,9734,13.43,1298,0
101,2022,275,900,0,9734,13.86,1298,0
101,2022,275,1000,0,9734,13.57,1298,0
101,2022,275,1100,0,9734,13.46,1298,0
101,2022,275,1200,0,9734,13.45,1298,0
101,2022,275,1300,0,9734,13.44,1298,0
101,2022,275,1400,0,9734,13.38,1298,0
101,2022,275,1500,0,9734,12.8,1298,0
101,2022,275,1600,0,9734,12.52,1298,0
101,2022,275,1700,0,9734,12.69,1298,0
101,2022,275,1800,0,9734,12.64,1298,0
101,2022,275,1900,0,9734,12.62,1298,0
101,2022,275,2000,0,9734,12.59,1298,0
101,2022,275,2100,0,9734,12.57,1298,0
101,2022,275,2200,0,9734,12.54,1298,0
101,2022,275,2300,0,9734,12.51,1298,0
101,2022,276,000,0,9734,12.48,1298,0
101,2022,276,100,0,9734,12.46,1298,0
101,2022,276,200,0,9734,12.44,1298,0
101,2022,276,300,0,9734,12.42,1298,0
101,2022,276,400,0,9734,12.4,1298,0
101,2022,276,500,0,9734,12.17,1298,0
101,2022,276,600,0,9734,12.13,1298,0
101,2022,276,700,0,9734,12.69,1298,0
101,2022,276,800,0,9734,13.4,1298,0
101,2022,276,900,0,9734,13.84,1298,0
101,2022,276,1000,0,9734,13.53,1298,0
101,2022,276,1100,0,9734,13.47,1298,0
101,2022,276,1200,0,9734,13.46,1298,0
101,2022,276,1300,0,9734,13.45,1298,0
101,2022,276,1400,0,9734,13.38,1298,0
101,2022,276,1500,0,9734,12.82,1298,0
101,2022,276,1600,0,9734,12.59,1298,0
